IVSum,ability,altAbility,attack,attackEV,attackIV,date,defense,defenseEV,defenseIV,experience,friendship,hasSpecies,heldItem,hiddenPowerType,hp,hpEV,hpIV,isBadEgg,isEgg,itemName,language,level,magicWord,mail,markings,maxHP,metGame,metLevel,metLocation,metLocationName,move_1,move_1_pp,move_2,move_2_pp,move_3,move_3_pp,move_4,move_4_pp,name,nature,otGender,otId,personality,pokeball,pokerus,pokerusStatus,ppBonuses,shiny,shinyValue,spAttack,spAttackEV,spAttackIV,spDefense,spDefenseEV,spDefenseIV,species,speed,speedEV,speedIV,status,time,type_1,type_2,zeroPadNumber
88,Shield Dust,0,8,0,23,2024-02-25,7,0,1,27,70,1,0,Water,15,0,3,0,0,None,2,3,3831518986,251662335,0,15,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Impish,0,2192337443,1724661033,4,0,none,0,False,45930,5,0,18,7,0,31,291,6,0,12,0,15:02:43,Bug,None,265
119,Shield Dust,0,9,0,11,2024-02-25,9,0,31,64,70,1,0,Steel,18,0,17,0,0,None,2,4,390953837,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Naive,0,2192337443,2514555214,4,0,none,0,False,27680,7,0,17,7,0,26,291,7,0,17,0,15:02:55,Bug,None,265
70,Swift Swim,0,7,0,5,2024-02-25,7,0,6,96,70,1,0,Fighting,17,0,17,0,0,None,2,4,3429462457,285217279,0,17,3,4,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Docile,0,2192337443,1321540506,4,0,none,0,False,48592,9,0,24,9,0,4,296,7,0,14,0,15:03:09,Water,Grass,270
116,Shield Dust,0,8,0,3,2024-02-25,8,0,22,64,70,1,0,Fire,18,0,22,0,0,None,2,4,2071716310,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Adamant,0,2192337443,4191652853,4,0,none,0,False,39597,6,0,22,8,0,25,291,7,0,22,0,15:03:23,Bug,None,265
88,Rain Dish,1,7,0,8,2024-02-25,7,0,19,57,70,1,0,Fire,15,0,4,0,0,None,2,3,4112121234,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Adamant,0,2192337443,2008389553,4,0,none,0,False,2187,6,0,14,8,0,27,296,7,0,16,0,15:03:35,Water,Grass,270
65,Swift Swim,0,6,0,2,2024-02-25,7,0,9,57,70,1,0,Fire,15,0,17,0,0,None,2,3,3081757817,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Careful,0,2192337443,889425498,4,0,none,0,False,21462,6,0,8,8,0,29,296,6,0,0,0,15:03:48,Water,Grass,270
110,Shield Dust,0,7,0,2,2024-02-25,6,0,27,27,70,1,0,Grass,16,0,15,0,0,None,2,3,14520429,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Lonely,0,2192337443,2188507726,4,0,none,0,False,37040,6,0,18,7,0,31,291,6,0,17,0,15:04:00,Bug,None,265
80,Shield Dust,0,7,0,8,2024-02-25,7,0,20,27,70,1,0,Ice,16,0,19,0,0,None,2,3,2798190694,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Quiet,0,2192337443,610626117,4,0,none,0,False,42671,6,0,21,6,0,3,291,5,0,9,0,15:04:12,Bug,None,265
70,Run Away,0,11,0,16,2024-02-25,7,0,15,64,70,1,0,Flying,17,0,13,0,0,None,2,4,3267392590,285217279,0,17,3,4,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Lonely,0,2192337443,1080827501,4,0,none,0,False,46734,7,0,6,7,0,8,287,8,0,12,0,15:04:28,Dark,None,261
56,Shield Dust,0,8,0,12,2024-02-25,8,0,5,64,70,1,0,Rock,18,0,10,0,0,None,2,4,3590051032,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Modest,0,2192337443,1465368315,4,0,none,0,False,291,7,0,11,7,0,12,291,6,0,6,0,15:04:40,Bug,None,265
